country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Botswana,BWA,Africa,Southern Africa,2014,EFProdTotGHA,111001.0844,1802961.4,341789.1736,555.351072,33262.67946,2442594.237,4732163.925,7574.28,2220000
Brazil,BRA,Latin America and the Caribbean,South America,2014,BiocapPerCap,1.130654383,0.972521971,6.490059901,0.165511156,0.093618999,0,8.852366409,11866.4,206078000
Brazil,BRA,Latin America and the Caribbean,South America,2014,BiocapTotGHA,233002993.9,200415382.6,1337458564,34108208.09,19292815.98,0,1824277965,11866.4,206078000
Brazil,BRA,Latin America and the Caribbean,South America,2014,EFConsPerCap,0.706014878,0.79811565,0.504265875,0.0466384,0.093618999,0.929040734,3.077694535,11866.4,206078000
Brazil,BRA,Latin America and the Caribbean,South America,2014,EFConsTotGHA,145494133.9,164474076.9,103918102.9,9611148.25,19292815.98,191454856.5,634245134.4,11866.4,206078000
Brazil,BRA,Latin America and the Caribbean,South America,2014,EFExportsPerCap,0.498004498,0.181163168,0.21748944,0.001922961,0,0.232816997,1.131397063,11866.4,206078000
Brazil,BRA,Latin America and the Caribbean,South America,2014,EFExportsTotGHA,102627770.8,37333743.3,44819788.81,396279.8695,0,47978461.15,233156044,11866.4,206078000
Brazil,BRA,Latin America and the Caribbean,South America,2014,EFImportsPerCap,0.073364992,0.006756847,0.022438196,0.014651679,0,0.29914899,0.416360705,11866.4,206078000
Brazil,BRA,Latin America and the Caribbean,South America,2014,EFImportsTotGHA,15118910.85,1392437.541,4624018.514,3019388.803,0,61648025.57,85802781.27,11866.4,206078000
Brazil,BRA,Latin America and the Caribbean,South America,2014,EFProdPerCap,1.130654383,0.972521971,0.699317119,0.033909681,0.093618999,0.862708742,3.792730894,11866.4,206078000
Brazil,BRA,Latin America and the Caribbean,South America,2014,EFProdTotGHA,233002993.9,200415382.6,144113873.2,6988039.316,19292815.98,177785292.1,781598397.1,11866.4,206078000
Aruba,ABW,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,,,,,,,0.571144371,,103000
Aruba,ABW,Latin America and the Caribbean,Caribbean,2014,BiocapTotGHA,,,,,,,59079.746,,103000
Aruba,ABW,Latin America and the Caribbean,Caribbean,2014,EFConsPerCap,,,,,,,6.407520227,,103000
Aruba,ABW,Latin America and the Caribbean,Caribbean,2014,EFConsTotGHA,,,,,,,662800.3119,,103000
Aruba,ABW,Latin America and the Caribbean,Caribbean,2014,EFExportsPerCap,,,,,,,0.248316682,,103000
Aruba,ABW,Latin America and the Caribbean,Caribbean,2014,EFExportsTotGHA,,,,,,,25686.12639,,103000
Aruba,ABW,Latin America and the Caribbean,Caribbean,2014,EFImportsPerCap,,,,,,,3.727484487,,103000
Aruba,ABW,Latin America and the Caribbean,Caribbean,2014,EFImportsTotGHA,,,,,,,385574.7299,,103000
